EGA python client version 3.0.21

Authentication success for user 'mail@gregor-sturm.de'
File ID         Status Bytes        Check sum                            File name
EGAF00001860318      1 198582170    8fb499e1a3cb0a4c17fea858dc63c394     EGAR00001643186/NSCLC/P0913/PD10_ZZM_TTC167-0913.2.clean.fq.gz.cip
EGAF00001861529      1 107920188    229c5b6f2268e8d1fbe1f4c734c93e0e     EGAR00001642472/NSCLC/P1202/Sample_PD10_ZZM_TTH124-1202.1.clean.fq.gz.cip
EGAF00001848658      1 116318441    9ca7de30d816f3188935b141ace1beff     EGAR00001642332/NSCLC/P1118/Sample_PD10_ZZM_TTC241-1118.2.clean.fq.gz.cip
EGAF00001892354      1 139381082    26ef883fe9f443829a274066a9c9cb13     EGAR00001668148/NSCLC/P1202/Sample_PD10_ZZM_PTH90-1202.1.clean.fq.gz.cip
EGAF00001864740      1 81926745     07988cbf61a596c408d302f929cd2611     EGAR00001647032/NSCLC/P1120/PD10_ZZM_PTC5-20171120.2.clean.fq.gz.cip
EGAF00001849988      1 140305845    33689800d17d627a1074bd33abeda03f     EGAR00001642816/NSCLC/P0913/PD10_ZZM_TTR8-0913.2.clean.fq.gz.cip
EGAF00001860543      1 85288324     a86fc3e3ffa175e473d7ce89dc15100a     EGAR00001645069/NSCLC/P1010/PD10_ZZM_PTR73-1010.1.clean.fq.gz.cip
EGAF00001850507      1 93079831     3df3a396e5406938563a538fe309f33b     EGAR00001646871/NSCLC/P0619/PD10_ZZM_TTY25-0619_S470_L002_R1_001.fastq.gz.cip
EGAF00001861006      1 80457913     fbcadfa444789c60c132f2b7bc25241e     EGAR00001648672/NSCLC/P0706/PD10_ZZM_TTR92-20170706.2.clean.fq.gz.cip
EGAF00001862089      1 63878098     3e0ea46156745b84d66ce2d70d4a16f1     EGAR00001646772/NSCLC/P0619/PD10_ZZM_TTH87-0619_S488_L002_R1_001.fastq.gz.cip
EGAF00001899017      1 140981133    337660b253e3e91bc9926efc4d9e1416     EGAR00001667811/NSCLC/P1202/Sample_PD10_ZZM_TTR78-1202.2.clean.fq.gz.cip
EGAF00001848703      1 176034398    61d91504c1e2c7e302cf95af8b2731be     EGAR00001642805/NSCLC/P0913/PD10_ZZM_TTR53-0913.1.clean.fq.gz.cip
EGAF00001851140      1 217786196    63e326c91a348807b747d985af970f58     EGAR00001641639/NSCLC/P0616A/PD10_ZZM_TTH118-0616A.2.clean.fq.gz.cip
EGAF00001858064      1 75531447     39827f399a13adf4d96bf4da0c292ff7     EGAR00001646244/NSCLC/P0619/PD10_ZZM_NTR45-0619_S420_L002_R2_001.fastq.gz.cip
EGAF00001860626      1 175260780    2a1d35d34769bc53fb95eeb748ef4a0e     EGAR00001645560/NSCLC/P1010/PD10_ZZM_TTH13-1010.2.clean.fq.gz.cip
EGAF00001868798      1 100708268    2936b3bfcb64c0add2ee689c3f63d5c2     EGAR00001647801/NSCLC/P1120/PD10_ZZM_TTR161-20171120.2.clean.fq.gz.cip
EGAF00001852938      1 130326064    f31fbad3e9e5949a6d3fd68a9b0e2d66     EGAR00001646418/NSCLC/P0619/PD10_ZZM_PTC88-0619_S651_L002_R2_001.fastq.gz.cip
EGAF00001864389      1 125424583    dd048c1dd7136c531b120dc32c1e4936     EGAR00001644157/NSCLC/P1011/PD10_ZZM_TTH3-1011.1.clean.fq.gz.cip
EGAF00001866928      1 160106466    05a0a677f89a08c702667815bb61745a     EGAR00001643491/NSCLC/P0913/PD10_ZZM_NTC13-0913.2.clean.fq.gz.cip
EGAF00001866882      1 240709869    13db303f940d46b57d6dfcc2e38f32f2     EGAR00001643018/NSCLC/P0616A/PD10_ZZM_PTR124-0616A.2.clean.fq.gz.cip
EGAF00001865055      1 50910151     17c2cc4ac5f32fc1b14d086e455a73ef     EGAR00001649391/NSCLC/P1219/PD10_ZZM_NTC87-20171219.1.clean.fq.gz.cip
EGAF00001859857      1 88148966     5523c002c382ff7aec411a918d8c369c     EGAR00001639595/NSCLC/P0617/Sample_PD10_ZZM_NTS-79-0617.1.clean.fq.gz.cip
EGAF00001895440      1 99258688     59a424df9eee5d9f951c1958ce502cc5     EGAR00001668926/NSCLC/P0729/Sample_PD10_ZZM_TTC101-0729.1.clean.fq.gz.cip
EGAF00001865786      1 158636568    41e8ac40dd285f54470faeaacb6f7dfb     EGAR00001644660/NSCLC/P1010/PD10_ZZM_NTH92-1010.2.clean.fq.gz.cip
EGAF00001864754      1 71232927     90d450473369e089576019da71b46a76     EGAR00001647039/NSCLC/P1120/PD10_ZZM_PTC58-20171120.2.clean.fq.gz.cip
EGAF00001867148      1 187335058    e2c8f7d950edc05e439c7e49e64185d8     EGAR00001645146/NSCLC/P1011/PD10_ZZM_PTY25-1011.2.clean.fq.gz.cip
EGAF00001867815      1 76549811     139f94eec2af25ce73c6caab0ef4d2cf     EGAR00001639929/NSCLC/P0729/Sample_PD10_ZZM_PTS11-0729.1.clean.fq.gz.cip
EGAF00001848691      1 108497507    2b7171e2091b3585e59743b2d9ee7695     EGAR00001642574/NSCLC/P1118/Sample_PD10_ZZM_TTH379-1118.1.clean.fq.gz.cip
EGAF00001865519      1 141335469    ea38b463e9c6f1b6671a76d1b9d9fd9e     EGAR00001642757/NSCLC/P0913/PD10_ZZM_TTC78-0913.1.clean.fq.gz.cip
EGAF00001855770      1 160098980    cc975dd9ed492596ca53095a07c0f0be     EGAR00001648831/NSCLC/P1208/PD10_ZZM_PTC7-20171208.2.clean.fq.gz.cip
EGAF00001852710      1 183456595    369d5a25e21449b0f66c4e75c06b2266     EGAR00001644504/NSCLC/P1010/PD10_ZZM_NTC44-1010.2.clean.fq.gz.cip
EGAF00001891640      1 135632810    f1080fed15c9c5d45bbf4ff39349c2b5     EGAR00001668616/NSCLC/P0617/Sample_PD10_ZZM_PTC126-0617.1.clean.fq.gz.cip
EGAF00001860312      1 203159101    326e2fbdb8524f3afadf78be81c0ec8e     EGAR00001643183/NSCLC/P0913/PD10_ZZM_TTC164-0913.2.clean.fq.gz.cip
EGAF00001863120      1 80632548     0d908938ccd673daee5185a3b74619d7     EGAR00001644617/NSCLC/P1010/PD10_ZZM_NTH60-1010.2.clean.fq.gz.cip
EGAF00001853865      1 145536542    0b4ce143f28762b00f994a75d53b85a2     EGAR00001643802/NSCLC/P0913/PD10_ZZM_PTR49-0913.1.clean.fq.gz.cip
EGAF00001849176      1 104565650    7d3779fd01a49daa99ab8d41be292e03     EGAR00001646611/NSCLC/P0619/PD10_ZZM_PTY78-0619_S834_L003_R2_001.fastq.gz.cip
